timestamp,type,participantId,killerId,victimId,assistingParticipantIds,itemId,skillSlot,level,levelUpType,wardType,creatorId,teamId,laneType,buildingType,towerType,bounty,multiKillLength,monsterType,monsterSubType,position,realTimestamp,shutdownBounty,killStreakLength,afterId,beforeId,transformType,name
0,PAUSE_END,,,,,,,,,,,,,,,,,,,,1757634819354.0,,,,,,
0,ITEM_PURCHASED,0.0,,,,3865.0,,,,,,,,,,,,,,,,,,,,,
0,ITEM_PURCHASED,0.0,,,,3865.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,7.0,,,,1102.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,4.0,,,,1055.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,4.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,7.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,7.0,,,,3340.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,5.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,5.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,5.0,,,,3340.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,8.0,,,,3340.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,8.0,,,,1056.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,8.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,8.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,3.0,,,,1056.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,3.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,3.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,3.0,,,,3340.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,10.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,10.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,2.0,,,,1103.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,1.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,1.0,,,,1054.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,6.0,,,,1054.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,6.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,6.0,,,,3340.0,,,,,,,,,,,,,,,,,,,,,
60024,SKILL_LEVEL_UP,3.0,,,,,3.0,,NORMAL,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,9.0,,,,1055.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,9.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
60024,WARD_PLACED,,,,,,,,,YELLOW_TRINKET,2.0,,,,,,,,,,,,,,,,
60024,SKILL_LEVEL_UP,4.0,,,,,1.0,,NORMAL,,,,,,,,,,,,,,,,,,
60024,WARD_PLACED,,,,,,,,,YELLOW_TRINKET,5.0,,,,,,,,,,,,,,,,
60024,ITEM_DESTROYED,2.0,,,,3340.0,,,,,,,,,,,,,,,,,,,,,
60024,ITEM_PURCHASED,2.0,,,,3364.0,,,,,,,,,,,,,,,,,,,,,
60024,WARD_PLACED,,,,,,,,,YELLOW_TRINKET,8.0,,,,,,,,,,,,,,,,
120039,SKILL_LEVEL_UP,2.0,,,,,2.0,,NORMAL,,,,,,,,,,,,,,,,,,
120039,WARD_PLACED,,,,,,,,,YELLOW_TRINKET,7.0,,,,,,,,,,,,,,,,
120039,SKILL_LEVEL_UP,8.0,,,,,1.0,,NORMAL,,,,,,,,,,,,,,,,,,
120039,SKILL_LEVEL_UP,5.0,,,,,1.0,,NORMAL,,,,,,,,,,,,,,,,,,
120039,SKILL_LEVEL_UP,7.0,,,,,1.0,,NORMAL,,,,,,,,,,,,,,,,,,
120039,SKILL_LEVEL_UP,1.0,,,,,1.0,,NORMAL,,,,,,,,,,,,,,,,,,
120039,SKILL_LEVEL_UP,9.0,,,,,1.0,,NORMAL,,,,,,,,,,,,,,,,,,
120039,SKILL_LEVEL_UP,6.0,,,,,3.0,,NORMAL,,,,,,,,,,,,,,,,,,
120039,LEVEL_UP,7.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
120039,SKILL_LEVEL_UP,7.0,,,,,2.0,,NORMAL,,,,,,,,,,,,,,,,,,
120039,LEVEL_UP,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
120039,ITEM_DESTROYED,7.0,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
